,year,co2,tmp
0,-419095.0,277.6,0.94
1,-416872.0,286.9,1.36
2,-414692.0,285.5,1.07
3,-413062.0,285.5,1.08
4,-410979.0,281.2,1.27
5,-408485.0,281.2,0.94
6,-406441.0,279.7,0.31
7,-404346.0,279.7,-0.37
8,-402179.0,278.0,-1.26
9,-400553.0,277.1,-1.58
10,-398361.0,274.7,-1.92
11,-396126.0,250.2,-2.8
12,-394297.0,255.2,-5.02
13,-391658.0,255.2,-5.6
14,-389700.0,259.3,-5.44
15,-387804.0,264.7,-5.4
16,-385894.0,258.1,-5.36
17,-383641.0,258.1,-2.5
18,-381551.0,246.9,-4.05
19,-379297.0,239.1,-4.63
20,-377702.0,240.0,-2.99
21,-375604.0,227.0,-5.08
22,-373331.0,229.7,-5.9
23,-370960.0,224.6,-5.74
24,-369331.0,214.7,-4.54
25,-367297.0,200.0,-4.86
26,-365208.0,201.9,-5.88
27,-363042.0,206.4,-6.2
28,-360904.0,201.2,-6.05
29,-358786.0,185.8,-6.64
30,-356612.0,186.2,-7.24
31,-354400.0,193.0,-7.46
32,-352710.0,193.0,-7.77
33,-350493.0,209.5,-7.64
34,-348357.0,216.2,-7.05
35,-346319.0,221.2,-6.76
36,-344348.0,220.4,-6.84
37,-342401.0,211.9,-6.32
38,-339993.0,205.2,-7.13
39,-338033.0,200.7,-7.16
40,-336081.0,250.2,-7.28
41,-334101.0,234.2,-7.94
42,-331725.0,239.7,-6.06
43,-329694.0,255.7,-4.56
44,-327597.0,278.7,-2.55
45,-325789.0,278.2,0.05
46,-323695.0,282.4,2.99
47,-321559.0,271.8,1.66
48,-319364.0,275.2,0.16
49,-317401.0,266.2,-0.39
50,-315194.0,260.6,-0.97
51,-313159.0,257.2,-1.79
52,-311035.0,249.2,-2.54
53,-309077.0,245.2,-3.86
54,-307005.0,272.7,-5.09
55,-304886.0,257.2,-4.13
56,-302834.0,241.9,-2.28
57,-300799.0,233.2,-2.97
58,-298749.0,227.9,-3.81
59,-296562.0,248.6,-5.04
60,-294348.0,240.2,-6.06
61,-292490.0,239.0,-3.52
62,-290382.0,224.4,-6.0
63,-288145.0,217.1,-5.68
64,-286248.0,212.7,-6.27
65,-283941.0,206.0,-5.95
66,-281875.0,217.2,-6.39
67,-280038.0,234.9,-6.17
68,-277903.0,230.4,-4.0
69,-275772.0,228.0,-3.53
70,-273605.0,231.4,-4.33
71,-271584.0,215.4,-5.74
72,-269429.0,202.2,-6.65
73,-267431.0,194.2,-7.65
74,-265321.0,184.7,-8.13
75,-263201.0,194.2,-8.13
76,-261336.0,211.7,-8.43
77,-259235.0,228.2,-8.09
78,-256994.0,208.9,-7.13
79,-254972.0,209.7,-5.41
80,-252986.0,204.0,-6.55
81,-250818.0,195.4,-5.29
82,-248680.0,213.9,-7.41
83,-246700.0,200.2,-6.78
84,-244551.0,214.7,-7.02
85,-242576.0,249.9,-5.74
86,-240548.0,263.8,-3.43
87,-238419.0,259.8,1.66
88,-236385.0,243.1,-1.11
89,-234268.0,245.2,-2.66
90,-232140.0,233.9,-4.38
91,-230088.0,224.5,-6.15
92,-228064.0,215.7,-6.5
93,-225900.0,205.7,-6.59
94,-223792.0,216.1,-7.6
95,-221850.0,214.1,-6.02
96,-219738.0,251.7,-3.42
97,-217699.0,241.4,-1.18
98,-215608.0,243.4,-1.22
99,-213453.0,243.9,-1.67
100,-211366.0,238.2,-2.56
101,-209315.0,232.2,-2.88
102,-207278.0,247.7,-4.31
103,-205214.0,251.0,-3.69
104,-203046.0,251.0,-2.38
105,-200998.0,226.4,-2.78
106,-198992.0,226.5,-2.96
107,-196846.0,218.0,-4.49
108,-194806.0,231.5,-4.23
109,-192638.0,231.4,-6.01
110,-190587.0,210.7,-4.79
111,-188467.0,199.8,-7.63
112,-186499.0,217.7,-8.14
113,-184367.0,213.2,-7.37
114,-182284.0,207.7,-8.0
115,-180182.0,190.3,-6.35
116,-178153.0,196.0,-7.25
117,-176117.0,197.8,-7.23
118,-173988.0,197.9,-5.91
119,-171880.0,197.9,-7.08
120,-169866.0,186.7,-6.87
121,-167790.0,191.6,-8.05
122,-165646.0,196.5,-8.17
123,-163546.0,204.4,-6.81
124,-161545.0,204.4,-7.41
125,-159444.0,189.0,-6.58
126,-157324.0,200.6,-8.59
127,-155271.0,191.9,-8.06
128,-153188.0,203.0,-7.78
129,-151181.0,197.0,-6.91
130,-149022.0,197.0,-7.62
131,-147014.0,195.6,-7.88
132,-144894.0,192.3,-8.32
133,-142779.0,194.4,-8.68
134,-140766.0,198.1,-8.38
135,-138644.0,208.9,-8.67
136,-136614.0,223.5,-7.29
137,-134538.0,245.0,-5.76
138,-132406.0,257.9,-2.44
139,-130353.0,274.1,0.84
140,-128309.0,267.1,2.78
141,-126217.0,268.7,0.53
142,-124154.0,272.2,0.59
143,-122064.0,272.0,-0.37
144,-119955.0,267.6,-1.16
145,-117886.0,274.6,-1.88
146,-115816.0,256.8,-3.11
147,-113736.0,245.7,-5.62
148,-111640.0,238.2,-5.68
149,-109543.0,230.7,-6.09
150,-107515.0,228.2,-6.48
151,-105413.0,236.9,-4.29
152,-103341.0,225.9,-3.55
153,-101234.0,225.9,-3.18
154,-99205.0,232.1,-4.35
155,-97075.0,232.1,-4.42
156,-95000.0,224.3,-3.96
157,-92967.0,208.0,-4.06
158,-90885.0,214.2,-4.79
159,-88793.0,241.1,-4.93
160,-86707.0,231.0,-3.99
161,-84638.0,231.0,-2.65
162,-82573.0,217.1,-4.53
163,-80498.0,217.1,-4.45
164,-78353.0,229.2,-5.71
165,-76313.0,227.4,-4.05
166,-74238.0,227.4,-6.31
167,-72152.0,195.0,-5.69
168,-70054.0,191.4,-7.84
169,-67945.0,195.4,-7.89
170,-65949.0,195.4,-7.4
171,-63865.0,195.4,-6.82
172,-61765.0,221.8,-6.5
173,-59674.0,221.8,-5.53
174,-57590.0,221.8,-4.86
175,-55536.0,190.4,-5.21
176,-53436.0,215.7,-6.05
177,-51384.0,188.4,-5.6
178,-49272.0,189.3,-5.51
179,-47214.0,189.3,-5.92
180,-45139.0,209.1,-6.69
181,-43073.0,209.1,-5.8
182,-40952.0,209.1,-5.74
183,-38865.0,209.1,-6.64
184,-36827.0,205.4,-6.02
185,-34744.0,205.4,-5.7
186,-32626.0,188.5,-6.62
187,-30622.0,188.5,-7.52
188,-28510.0,191.6,-8.47
189,-26425.0,189.2,-7.82
190,-24363.0,189.2,-9.39
191,-22284.0,182.2,-8.82
192,-20197.0,182.2,-7.52
193,-18116.0,225.3,-8.63
194,-16057.0,236.2,-5.75
195,-13992.0,263.7,-2.32
196,-11861.0,261.6,-2.85
197,-9831.0,254.6,-0.74
198,-7745.0,262.2,-0.72
199,-5674.0,284.7,-0.06
